Country,Energy_type,Year,Energy_consumption,Energy_production,CO2_emission
World,nuclear,1999,7351.393,7351.393,0.0
World,renewables_n_other,1999,9163.419,9300.759,0.0
World,all_energy_types,2000,117925.132,117185.568,23494.916
World,coal,2000,28913.592,28237.95,8901.52
World,natural_gas,2000,26260.494,26166.53,4571.851
World,petroleum_n_other_liquids,2000,45914.172,45822.204,10021.546
World,nuclear,2000,7517.398,7517.398,0.0
World,renewables_n_other,2000,9307.678,9441.487,0.0
World,all_energy_types,2001,118757.932,118853.736,24258.081
World,coal,2001,29206.261,29489.445,9372.459
World,natural_gas,2001,26356.182,26690.382,4736.164
World,petroleum_n_other_liquids,2001,46260.392,45601.51,10149.458
World,nuclear,2001,7732.059,7732.059,0.0
World,renewables_n_other,2001,9216.11,9340.34,0.0
World,all_energy_types,2002,121322.455,119384.514,24463.109
World,coal,2002,29953.416,29757.959,9467.451
World,natural_gas,2002,27566.224,27260.035,4754.982
World,petroleum_n_other_liquids,2002,46699.027,45113.898,10240.676
World,nuclear,2002,7816.705,7816.705,0.0
World,renewables_n_other,2002,9300.463,9435.917,0.0
World,all_energy_types,2003,125580.973,124006.866,25016.047
World,coal,2003,32452.872,31997.679,9714.218
World,natural_gas,2003,28365.42,28139.921,4974.682
World,petroleum_n_other_liquids,2003,47700.294,46605.86,10327.148
World,nuclear,2003,7706.382,7706.382,0.0
World,renewables_n_other,2003,9405.566,9557.024,0.0
World,all_energy_types,2004,132083.467,130546.832,26169.806
World,coal,2004,35247.185,34563.925,10524.395
World,natural_gas,2004,29246.865,28923.304,5119.269
World,petroleum_n_other_liquids,2004,49692.735,48931.954,10526.142
World,nuclear,2004,7985.849,7985.849,0.0
World,renewables_n_other,2004,9948.49,10141.799,0.0
World,all_energy_types,2005,136363.451,135199.385,27602.32
World,coal,2005,37603.22,36880.588,11430.848
World,natural_gas,2005,30071.006,29908.868,5279.49
World,petroleum_n_other_liquids,2005,50302.678,49754.564,10891.982
World,nuclear,2005,8002.244,8002.244,0.0
World,renewables_n_other,2005,10450.905,10653.121,0.0
World,all_energy_types,2006,140680.818,138826.399,28689.677
World,coal,2006,39692.753,38926.016,12196.525
World,natural_gas,2006,31156.894,31055.128,5429.203
World,petroleum_n_other_liquids,2006,50990.567,49661.189,11063.949
World,nuclear,2006,8109.37,8109.37,0.0
World,renewables_n_other,2006,10841.07,11074.695,0.0
World,all_energy_types,2007,144499.795,141365.667,29632.54
World,coal,2007,41649.713,40662.289,12869.563
World,natural_gas,2007,32155.916,31723.741,5630.35
World,petroleum_n_other_liquids,2007,51730.471,49543.341,11132.627
